FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
1;0;Generiske objekter;;;;;;;
2;1;Generiske objekter ARK;;;;;;;
3;11;FRI;;;;;;;
2;2;Generiske objekter KON;;;;;;;
3;21;FRI;;;;;;;
2;3;Generiske objekter VENT;;;;;;;
3;31;FRI;;;;;;;
2;4;Generiske objekter VVS;;;;;;;
3;41;FRI;;;;;;;
2;5;Generiske objekter EL;;;;;;;
3;51;FRI;;;;;;;
2;6;Generiske objekter LAND;;;;;;;
3;61;FRI;;;;;;;
2;7;Generiske objekter Entreprenør/Leverandør;;;;;;;
3;71;FRI;;;;;;;
2;9;Generiske objekter, øvrigt;;;;;;;
3;91;FRI;;;;;;;
1;1;Bygningsbasis;;;;1.;Bygningsbasis;;
2;10;Terræn;;;;10;Bygningsbasis, terræn;;
3;101;Forberedt grund;;;;10.1;Forberedt grund;;
3;102;Byggegrube inkl. afstivning;;;;10.2;Byggegrube inkl. afstivning;;
3;103;Spunsvægge;;;;10.3;Spunsvægge;;
3;104;FRI;;;;;;;
3;105;Pæle ;;;;10.4;Pælefundamenter og brøndfundamenter;;
3;109;Øvrigt, Bygningsbasis i terræn;;;;;;;
2;12;Fundamenter;;;;12;Fundamenter, bygning;;
3;121;Liniefundamenter;;;;12.1;Liniefundamenter;;
3;122;Punktfundamenter;;;;12.2;Punktfundamenter;;
3;123;Pladefundamenter;;;;12.3;Pladefundamenter;;
3;124;Opmurede fundamenter;;;;;;;
3;125;Maskinfundamenter;;;;;;;
3;126;Pælefundamenter og brøndfundamenter;;;;;;;
3;127;FRI;;;;;;;
3;129;Øvrigt, Fundamenter;;;;;;;
2;13;Terrændæk;;;;13;Terrændæk, bygning;;
3;131;Terrændæk;;;;;;;
3;139;Øvrigt, Terrændæk;;;;;;;
2;19;Bygningsbasis, øvrige;;;;18;Bygningsbasis, øvrige;;
3;191;Kanaler under terrændæk;;;;18.1;Kanaler under terrændæk;;
3;192;Gruber og sumpe;;;;18.2;Gruber og sumpe;;
1;2;Primære bygningsdele;;;;2.;Primære bygningsdele;;
2;20;Primære bygningsdele, terræn;;;;20;Primære bygningsdele, terræn;;
3;201;Hegnsmure;;;;20.2;Hegnsmure;;
3;202;Støttemure;;;;20.3;Støttemure;;
3;203;Teknikgange ;;;;20.4;Teknikgange i terræn inkl. rør-broer og tunneller;;
3;204;Fodgængerbroer, viadukter m.m.;;;;20.5;Fodgængerbroer, viadukter m.m.;;
3;205;Trapper i terræn;;;;20.6;Trapper og ramper i terræn;;
3;206;Ramper i terræn;;;;20.6;Trapper og ramper i terræn;;
3;209;Øvrigt, Primære bygningsdele i terræn;;;;;;;
2;21;Ydervægge;;;;21;Ydervægge, primære bygningsdele;;
3;211;Udvendige vægelementer;;;;;;;
3;212;Udvendige pladsstøbte vægge;;;;;;;
3;213;Udvendige opmurede vægge;;;;;;;
3;214;Udvendige skeletkonstruerede vægge;;;;;;;
3;215;Udvendige skeletkonstruerede vægskørter;;;;;;;
3;216;Udvendige facadesystemer;;;;;;;
3;217;Udvendige isoleringsvægsystemer;;;;;;;
3;218;Udvendige lyskasser;;;;;;;
3;219;Øvrigt, Ydervægge;;;;;;;
2;22;Indervægge;;;;22;Indervægge, primære bygningsdele;;
3;221;Indvendige vægelementer;;;;;;;
3;222;Indvendige pladsstøbte vægge;;;;;;;
3;223;Indvendige opmurede vægge;;;;;;;
3;224;Indvendige skeletkonstruerede vægge;;;;;;;
3;225;Indvendige skeletkonstruerede vægskørter;;;;;;;
3;226;Indvendige glasvægsystemer;;;;;;;
3;229;Øvrigt, Indervægge;;;;;;;
2;23;Dæk;;;;23;Dæk, primære bygningsdele;;
3;231;Dækelementer;;;;;;;
3;232;Pladsstøbte dæk;;;;;;;
3;233;Skeletkonstruerede dæk;;;;;;;
3;234;Afretningslag;;;;;;;
3;239;Øvrigt, Dæk;;;;;;;
2;24;Trapper og ramper;;;;24; Trapper og ramper, primære bygningsdele;;
3;241;Elementtrapper;;;;;;;
3;242;Pladsstøbte trapper;;;;;;;
3;243;Sammensatte trapper;;;;;;;
3;244;Element ramper;;;;;;;
3;245;Pladsstøbte ramper;;;;;;;
3;246;Sammensatte ramper;;;;;;;
3;247;Faste stiger, lejdere og trin;;;;24.6;Faste stiger;;
3;249;Øvrigt, Trapper og ramper;;;;;;;
2;25;Bjælker og søjler;;;;;;;
3;251;Elementbjælker;;;;;;;
3;252;Pladsstøbte bjælker;;;;;;;
3;253;Stålbjælker;;;;;;;
3;254;FRI;;;;;;;
3;255;Elementsøjler;;;;;;;
3;256;Pladsstøbte søjler;;;;;;;
3;257;Stålsøjler;;;;;;;
3;259;Øvrigt, Bjælker og søjler;;;;;;;
2;26;Altaner og altangange;;;;26;Altaner og altangange, primære bygningsdele;;
3;261;Elementaltaner og altangange;;;;;;;
3;262;Pladsstøbte altaner og altangange;;;;;;;
3;263;Sammensatte altaner, altangange;;;;;;;
3;269;Øvrigt, Altaner og altangange;;;;;;;
2;27;Tage;;;;27;Tage, primære bygningsdele;;
3;271;Spærtage;;;;27.1;Tagværker;;
3;272;Tagkassetter;;;;27.1;Tagværker;;
3;273;Varme tage;;;;27.1;Tagværker;;
3;274;Glastagssystemer;;;;27.1;Tagværker;;
3;275;Mobile tage;;;;27.1;Tagværker;;
3;276;Baldakiner og overdækninger;;;;27.1;Tagværker;;
3;279;Øvrigt, Tagværker;;;;;;;
2;29;Primære bygningsdele, øvrige;;;;28;Primære bygningsdele bygning, øvrige;;
1;3;Kompletterende bygningsdele;;;;3.;Kompletterende bygningsdele;;
2;30;Kompletterende bygningsdele, terræn;;;;30;Kompletterende bygningsdele, terræn;;
3;301;Hegn, afskærmninger;;;;30.2;Hegn;;
3;302;Gelændere, rækværker og håndlister i terræn;;;;30.3;Komplettering trapper, ramper m.m. i terræn;;
3;303;Overgange i terræn;;;;;;;
3;304;Kantbegrænsninger;;;;;;;
3;305;Konstruerede elementer;;;;;;;
3;309;Øvrigt terræn kompletteringer;;;;;;;
2;31;Ydervægge, komplettering;;;;31;Ydervægge, komplettering;;
3;311;Udvendige døre ;;;;31.2;Døre, ydervægge;;
3;312;Udvendige vinduer;;;;31.4;Vinduer, ydervægge;;
3;313;Udvendige døre, facadesystemer;;;;31.2;Døre, ydervægge;;
3;314;Udvendige vinduesopluk, facadesystemer;;;;31.4;Vinduer, ydervægge;;
3;315;Udvendige ruder, blændfelter og karmprofiler, facadesystemer;;;;;;;
3;316;Udvendige porte og karusseldøre;;;;31.3;Porte, ydervægge;;
3;317;Udvendige afskærmninger;;;;;;;
3;319;Øvrigt, Ydervægskompletteringer;;;;;;;
2;32;Indervægge, komplettering;;;;32;Indervægge, komplettering;;
3;321;Indvendige døre;;;;32.1;Døre, indervægge;;
3;322;Indvendige vinduer, luger og lemme;;;;32.2;Luger, lemme og vinduer;;
3;323;Indvendige døre, glasvægsystem;;;;32.1;Døre, indervægge;;
