FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
0;1.1;BYGNINGSBASIS;Substructure;;;;;;
1;1.10;Bygningsbasis, terræn;Prepared site;;;;;;
2;1.10.1;Forberedt grund;;;;;;;
2;1.10.2;Byggegrube, inkl. afstivning;;;;;;;
2;1.10.3;Spunsvægge;;;;bk.væg;;;
2;1.10.4;Pæle- og brøndfundamenter;;;;bk.fun;;;
2;1.10.5;Fundamenter i terræn;Foundations in terrain;;;;;;
1;1.12;Fundamenter, bygning;Foundations;;;bk.fun;Fundament;;
2;1.12.1;Linjefundamenter;;;;bk.fun;Fundament;;
2;1.12.2;Punktfundamenter;Pad foundations;;;bk.fun;Fundament;;
2;1.12.3;Pladefundamenter;Slab foundations;;;bk.fun;Fundament;;
2;1.12.4;Maskinfundamenter;;;;bk.fun;Fundament;;
1;1.13;Terrændæk, bygning;Floor slabs;;;bk.dæk;Dækkonstruktion;;
2;1.13.1;Terrændæk, kældre;Floor slabs, basement;;;bk.dæk;Dækkonstruktion;;
2;1.13.2;Terrændæk i terrænniveau;Floor slabs, ground level;;;bk.dæk;Dækkonstruktion;;
1;1.18;Bygningsbasis bygning, øvrige;Other substructures;;;;;;
2;1.18.1;Kanaler under terrændæk;;;;bk.kan;Kanaler, ingeniørgange;;
2;1.18.2;Gruber og sumpe;Pits and sumps;;;;;;
0;2.2;PRIMÆRE BYGNINGSDELE;Structure;;;;;;
1;2.20;Primære bygningsdele, terræn;Site structures;;;;;;
2;2.20.1;Sekundære bygninger (under 10 m2);;;;ti.sby;Småbygninger;;
2;2.20.2;Hegnsmure;Fence walls;;;tk.heg;Hegn;;
2;2.20.3;Støttemure;Retaining walls;;;tk.væg;Væg;;
2;2.20.4;Teknikgange i terræn;;;;tk.tek;Teknikgang;;
2;2.20.5;Fodgængerbroer, viadukter m.m.;Footbridges, viaducts, etc.;;;tk.bro;Bro;;
2;2.20.6;Trapper og ramper i terræn;Stairs and ramps, on site;;;tk.tra;Trappe og rampe;;
1;2.21;Ydervægge;Exterior walls;;;bk.væg;Væg;;
2;2.21.1;Kælderydervægge;Basement walls, exterior;;;bk.væg;Væg;;
2;2.21.2;Lyskasser;Light shafts;;;bk.lys;Lyskasse;;
2;2.21.3;Ydervægge, ekskl. kælderydervægge;;;;bk.væg;Væg;;
1;2.22;Indervægge;Interior walls;;;bk.væg;Væg;;
2;2.22.1;Kælderindervægge;Basement walls, interior;;;bk.væg;Væg;;
2;2.22.2;Indervægge, ekskl. kælderindervægge;;;;bk.væg;Væg;;
2;2.22.3;Skaktvægge, skorstensv., install. skakte;;;;bk.væg;Væg;;
2;2.22.4;Skakte for elevatorer;Lift shafts;;;bk.væg;Væg;;
1;2.23;Dæk;Floors;;;bk.dæk;Dækkonstruktion;;
2;2.23.1;Kælderdæk og krybekælderdæk;Basement slabs and crawl space slabs;;;bk.dæk;Dækkonstruktion;;
2;2.23.2;Etagedæk;Floor slabs;;;dk.dæk;Dækkonstruktion;;
2;2.23.3;Tagdæk. Særlige dæk under opbyg. tage;;;;bk.dæk;Dækkonstruktion;;
1;2.24;Trapper og ramper;Stairs;;;bk.tra;Trappe;;
2;2.24.1;Kældertrapper, udvendige;Basement stairs, exterior;;;bk.tra;Trappe;;
2;2.24.2;Trapper, udvendige;;;;bk.tra;Trappe;;
2;2.24.3;Trapper, indvendige;;;;bk.tra;Trappe;;
2;2.24.4;Ramper, udvendige;;;;bk.ram;Rampe;;
2;2.24.5;Ramper, indvendige;;;;bk.ram;Rampe;;
2;2.24.6;Faste stiger;Fixed ladders;;;bk.tra;Trappe;;
1;2.26;Altaner;Balconies, completions;;;bk.alt;Altan;;
2;2.26.1;Altaner og altangange, udkragede;Balconies and walkways, cantilevered;;;bk.alt;Altan;;
2;2.26.2;Altaner og altangange, fritliggende;Balconies and walkways, detached;;;bk.alt;Altan;;
2;2.26.3;Altaner og altangange, påhængte;Balconies and walkways, wall-mounted;;;bk.alt;Altan;;
2;2.26.4;Altaner og altangange, fritstående;Balconies and walkways, free-standing;;;bk.alt;Altan;;
1;2.27;Tage;Roofs;;;bk.tak;Tagkonstruktion;;
2;2.27.1;Tagværker;Roof truss;;;bk.tak;Tagkonstruktion;;
2;2.27.2;Baldakiner og overdækninger;Canopies and covers;;;bk.tak;Tagkonstruktion;;
1;2.28;Primære bygn.dele bygning, øvrige;;;;;;;
2;2.28.1;Andet;;;;;;;
0;3.3;KOMPLETTERING;;;;;;;
1;3.30;Kompletterende bygningsdele, terræn;Site enclosures;;;;;;
2;3.30.1;Komplettering sekundære bygninger;Secondary buildings, completions;;;ti.sby;Småbygninger ikke registreret som bygning (x);;
2;3.30.2;Hegn;;;;tk.heg;Hegn;;
2;3.30.3;Komplettering trapper ramper i terræn;;;;tk.tra;Trapper og rampe;;
1;3.31;Ydervægge komplettering;;;;;;;
2;3.31.1;Kælderydervægge, døre, vinduer m.m.;;;;bk.dør;Dør;;
2;3.31.2;Døre, ydervægge;Doors, exterior walls;;;bk.dør;Dør;;
2;3.31.3;Porte, ydervægge;Gates, exterior walls;;;bk.por;Porte;;
2;3.31.4;Vinduer, ydervægge;Windows, exterior walls;;;bk.vin;Vindue;;
2;3.31.5;Solskærme, skodder, gitre m.m.;Sun protection, shutters, lattice, etc.;;;bk.vin;Vindue;;
2;3.31.6;Sålbænke, inddækninger m.m.;Window sill, flashings, etc.;;;bk.dør;Dør;;
2;3.31.7;Facadeelementer, komplettering;;;;bk.væg;Væg;;
1;3.32;Indervægge, komplettering;Interior walls, completions;;;;;;
2;3.32.1;Døre, indervægge;Doors, interior walls;;;bk.dør;Dør;;
2;3.32.2;Luger, lemme, og vinduer;;;;bk.lug;Luger og lemme;;
2;3.32.3;Bevægelige indervægge;Moveable partition walls;;;bk.væg;Væg;;
2;3.32.4;Indfatninger, fodpaneler, fendere;;;;bk.dør;Dør;;
2;3.32.5;Porte, indervægge;;;;bk.por;Porte;;
1;3.33;Dæk, komplettering;Floors, completions;;;;;;
2;3.33.1;Opbyggede gulve;Builtup floors;;;bk.gul;Gulv;;
2;3.33.2;Svømmende gulve;Floating floors;;;bk.gul;Gulv;;
2;3.33.3;Lemme, riste, måtterammer m.m.;Hatches, grates, mat frames, etc.;;;bk.gul;Gulv;;
2;3.33.4;Sokler til maskiner m.m.;;;;bk.fun;Fundament;;
1;3.34;Trapper og ramper, komplettering;Stairs, completions;;;;;;
2;3.34.1;Gelændere og rækværker, udvendige;Handrails and balustrades, exterior;;;bk.tra;Trappe;;
2;3.34.2;Gelændere og rækværker, indvendige;Handrails and balustrades, interior;;;bk.tra;Trappe;;
2;3.34.3;Riste, måtterammer m.m.;Grates, mat frames etc.;;;bk.tra;Trappe;;
1;3.35;Lofter, komplettering;Suspended ceilings;;;;;;
2;3.35.1;Nedhængte lofter;Suspended ceilings;;;bk.lof;Loft;;
2;3.35.2;Påbyggede lofter;Surface-mounted ceilings;;;bk.lof;Loft;;
1;3.36;Altaner, komplettering;;;;;;;
2;3.36.1;Rækværker, brystninger;Railings, parapets;;;bk.alt;Altan;;
1;3.37;Tage, komplettering;Roofs, completions;;;;;;
2;3.37.1;Kviste m.m.;Dormers, etc. ;;;bk.kvi;Kvist;;
2;3.37.2;Ovenlys og røglemme;Skylights and smoke hatches;;;bk.lug;Luger og lemme;;
2;3.37.3;Solskærme til ovenlys;Sun screens for skylights;;;bk.vin;Vindue;;
2;3.37.4;Snefang, rækværker, afskærmninger;;;;bk.tad;Tagdækning;;
2;3.37.5;Inspektionslemme, døre m.m.;Inspection hatches, doors, etc.;;;bk.dør;Dør;;
2;3.37.6;Tagudh., v.skeder., sternbr., inddækn.;;;;bk.tad;Tagdækning;;
1;3.38;Kompletterende bygningsdele bygning, øvrige;Other completions;;;;;;
0;4.4;OVERFLADER;;;;bk.ovf;Overflader;;
1;4.40;Belægninger, terræn;Roads, paths, pavings;;;;;;
2;4.40.1;Overflader, sekundære bygninger;Secondary buildings, finishes;;;ti.sby;Småbygninger;;
2;4.40.2;Stier, belægninger;Paths;;;tk.bel;Belægninger;;
2;4.40.3;Veje, parkeringsarealer, belægninger;Roads, parkings areas, pavements;;;tk.bel;Belægninger;;
2;4.40.4;Opholdsarealer, belægninger;Open spaces, pavements;;;tk.bel;Belægninger;;
2;4.40.5;Sports- og havearealer, belægninger;Sports and green areas, pavements;;;tk.bel;Belægninger;;
2;4.40.6;Trapper og ramper i terræn, overflader;Stairs and ramps in ground, finishes;;;tk.tra;Trapper og ramper;Stairs;
2;4.40.7;Arealer for beplantning;;;;;;;
1;4.41;Udvendige vægoverflader;Applied wall finishes, exterior;;;;;;
2;4.41.1;Kælderydervægge, udv. overflader;;;;bk.ovf;Overflade;;
2;4.41.2;Kælderydervægge, kompl. , overflader;;;;bk.ovf;Overflade;;
2;4.41.3;Ydervægge, udvendige overflader;Exterior walls, exterior surfaces;;;bk.ovf;Overflade;;
2;4.41.4;Ydervægge, komplett. dele, overflader;;;;bk.ovf;Overflade;;
1;4.42;Indvendige vægoverflader;Applied wall finishes, interior;;;;;;
2;4.42.1;Indvendige vægoverflader;Applied wall finishes, interior;;;bk.ovf;Overflade;;
2;4.42.2;Indervægge, komplet. dele, overflader;;;;bk.ovf;Overflade;;
1;4.43;Dæk og gulve, overflader;Applied floor finishes;;;;;;
2;4.43.1;Terrændæk, overflader;Ground slabs, surfaces;;;bk.dæk;Dækkonstruktion;;
2;4.43.2;Etagedæk, overflader;Slabs, surfaces;;;bk.dæk;Dækkonstruktion;;
1;4.44;Trapper og ramper, overflader;Applied stair finishes;;;;;;
2;4.44.1;Kældertrapper og -ramper, udv. overfl.;;;;bk.ovf;Overflade;;
2;4.44.2;Trapper, udvendige overflader;;;;bk.ovf;Overflade;;
2;4.44.3;Trapper, indvendige overflader;;;;bk.ovf;Overflade;;
2;4.44.4;Ramper, udvendige overflader;;;;bk.ovf;Overflade;;
2;4.44.5;Ramper, indvendige overflader;;;;bk.ovf;Overflade;;
1;4.45;Lofter, overflader;Applied ceiling finishes;;;bk.lof;Loft;;
1;4.46;Altaner, overflader;Applied balcony finishes;;;;;;
2;4.46.1;Altaner, overflader;Applied balcony finishes;;;bk.alt;Altan;;
2;4.46.2;Altangange, overflader;;;;bk.alg;Altangang;;
1;4.47;Tage, overflader;Applied roof finishes;;;;;;
2;4.47.1;Tage, overflader;Applied roof finishes;;;bk.tad;Tagdækning;;
2;4.47.2;Baldakiner og overdækninger, overflader;;;;bk.tad;Tagdækning;;
1;4.48;Øvrige overflader, bygning;;;;;;;
