FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
0;SfB1;BYGNINGSBASIS;Substructure;;;;;;
1;SfB10;Bygningsbasis, terræn;Prepared site;;;;;;
2;Sfb10.1;Forberedt grund;;;;;;;
2;SfB10.2;Byggegrube, inkl. afstivning;;;;;;;
2;SfB10.3;Spunsvægge;;;;bk.væg;;;
2;SfB10.4;Pæle- og brøndfundamenter;;;;bk.fun;;;
2;SfB10.5;Fundamenter i terræn;Foundations in terrain;;;;;;
1;SfB12;Fundamenter, bygning;Foundations;;;bk.fun;Fundament;;
2;SfB12.1;Linjefundamenter;;;;bk.fun;Fundament;;
2;SfB12.2;Punktfundamenter;Pad foundations;;;bk.fun;Fundament;;
2;SfB12.3;Pladefundamenter;Slab foundations;;;bk.fun;Fundament;;
2;SfB12.4;Maskinfundamenter;;;;bk.fun;Fundament;;
1;SfB13;Terrændæk, bygning;Floor slabs;;;bk.dæk;Dækkonstruktion;;
2;SfB13.1;Terrændæk, kældre;Floor slabs, basement;;;bk.dæk;Dækkonstruktion;;
2;SfB13.2;Terrændæk i terrænniveau;Floor slabs, ground level;;;bk.dæk;Dækkonstruktion;;
1;SfB18;Bygningsbasis bygning, øvrige;Other substructures;;;;;;
2;SfB18.1;Kanaler under terrændæk;;;;bk.kan;Kanaler, ingeniørgange;;
2;SfB18.2;Gruber og sumpe;Pits and sumps;;;;;;
0;SfB2;PRIMÆRE BYGNINGSDELE;Structure;;;;;;
1;SfB20;Primære bygningsdele, terræn;Site structures;;;;;;
2;SfB20.1;Sekundære bygninger (under 10 m2);;;;ti.sby;Småbygninger;;
2;SfB20.2;Hegnsmure;Fence walls;;;tk.heg;Hegn;;
2;SfB20.3;Støttemure;Retaining walls;;;tk.væg;Væg;;
2;SfB20.4;Teknikgange i terræn;;;;tk.tek;Teknikgang;;
2;SfB20.5;Fodgængerbroer, viadukter m.m.;Footbridges, viaducts, etc.;;;tk.bro;Bro;;
2;SfB20.6;Trapper og ramper i terræn;Stairs and ramps, on site;;;tk.tra;Trappe og rampe;;
1;SfB21;Ydervægge;Exterior walls;;;bk.væg;Væg;;
2;SfB21.1;Kælderydervægge;Basement walls, exterior;;;bk.væg;Væg;;
2;SfB21.2;Lyskasser;Light shafts;;;bk.lys;Lyskasse;;
2;SfB21.3;Ydervægge, ekskl. kælderydervægge;;;;bk.væg;Væg;;
1;SfB22;Indervægge;Interior walls;;;bk.væg;Væg;;
2;SfB22.1;Kælderindervægge;Basement walls, interior;;;bk.væg;Væg;;
2;SfB22.2;Indervægge, ekskl. kælderindervægge;;;;bk.væg;Væg;;
2;SfB22.3;Skaktvægge, skorstensv., install. skakte;;;;bk.væg;Væg;;
2;SfB22.4;Skakte for elevatorer;Lift shafts;;;bk.væg;Væg;;
1;SfB23;Dæk;Floors;;;bk.dæk;Dækkonstruktion;;
2;SfB23.1;Kælderdæk og krybekælderdæk;Basement slabs and crawl space slabs;;;bk.dæk;Dækkonstruktion;;
2;SfB23.2;Etagedæk;Floor slabs;;;dk.dæk;Dækkonstruktion;;
2;SfB23.3;Tagdæk. Særlige dæk under opbyg. tage;;;;bk.dæk;Dækkonstruktion;;
1;SfB24;Trapper og ramper;Stairs;;;bk.tra;Trappe;;
2;SfB24.1;Kældertrapper, udvendige;Basement stairs, exterior;;;bk.tra;Trappe;;
2;SfB24.2;Trapper, udvendige;;;;bk.tra;Trappe;;
2;SfB24.3;Trapper, indvendige;;;;bk.tra;Trappe;;
2;SfB24.4;Ramper, udvendige;;;;bk.ram;Rampe;;
2;SfB24.5;Ramper, indvendige;;;;bk.ram;Rampe;;
2;SfB24.6;Faste stiger;Fixed ladders;;;bk.tra;Trappe;;
1;SfB26;Altaner;Balconies, completions;;;bk.alt;Altan;;
2;SfB26.1;Altaner og altangange, udkragede;Balconies and walkways, cantilevered;;;bk.alt;Altan;;
2;SfB26.2;Altaner og altangange, fritliggende;Balconies and walkways, detached;;;bk.alt;Altan;;
2;SfB26.3;Altaner og altangange, påhængte;Balconies and walkways, wall-mounted;;;bk.alt;Altan;;
2;SfB26.4;Altaner og altangange, fritstående;Balconies and walkways, free-standing;;;bk.alt;Altan;;
1;SfB27;Tage;Roofs;;;bk.tak;Tagkonstruktion;;
2;SfB27.1;Tagværker;Roof truss;;;bk.tak;Tagkonstruktion;;
2;SfB27.2;Baldakiner og overdækninger;Canopies and covers;;;bk.tak;Tagkonstruktion;;
1;SfB28;Primære bygn.dele bygning, øvrige;;;;;;;
2;SfB28.1;Andet;;;;;;;
0;SfB3;KOMPLETTERING;;;;;;;
1;SfB30;Kompletterende bygningsdele, terræn;Site enclosures;;;;;;
2;SfB30.1;Komplettering sekundære bygninger;Secondary buildings, completions;;;ti.sby;Småbygninger ikke registreret som bygning (x);;
2;SfB30.2;Hegn;;;;tk.heg;Hegn;;
2;SfB30.3;Komplettering trapper ramper i terræn;;;;tk.tra;Trapper og rampe;;
1;SfB31;Ydervægge komplettering;;;;;;;
2;SfB31.1;Kælderydervægge, døre, vinduer m.m.;;;;bk.dør;Dør;;
2;SfB31.2;Døre, ydervægge;Doors, exterior walls;;;bk.dør;Dør;;
2;SfB31.3;Porte, ydervægge;Gates, exterior walls;;;bk.por;Porte;;
2;SfB31.4;Vinduer, ydervægge;Windows, exterior walls;;;bk.vin;Vindue;;
2;SfB31.5;Solskærme, skodder, gitre m.m.;Sun protection, shutters, lattice, etc.;;;bk.vin;Vindue;;
2;SfB31.6;Sålbænke, inddækninger m.m.;Window sill, flashings, etc.;;;bk.dør;Dør;;
2;SfB31.7;Facadeelementer, komplettering;;;;bk.væg;Væg;;
1;SfB32;Indervægge, komplettering;Interior walls, completions;;;;;;
2;SfB32.1;Døre, indervægge;Doors, interior walls;;;bk.dør;Dør;;
2;SfB32.2;Luger, lemme, og vinduer;;;;bk.lug;Luger og lemme;;
2;SfB32.3;Bevægelige indervægge;Moveable partition walls;;;bk.væg;Væg;;
2;SfB32.4;Indfatninger, fodpaneler, fendere;;;;bk.dør;Dør;;
2;SfB32.5;Porte, indervægge;;;;bk.por;Porte;;
1;SfB33;Dæk, komplettering;Floors, completions;;;;;;
2;SfB33.1;Opbyggede gulve;Builtup floors;;;bk.gul;Gulv;;
2;SfB33.2;Svømmende gulve;Floating floors;;;bk.gul;Gulv;;
2;SfB33.3;Lemme, riste, måtterammer m.m.;Hatches, grates, mat frames, etc.;;;bk.gul;Gulv;;
2;SfB33.4;Sokler til maskiner m.m.;;;;bk.fun;Fundament;;
1;SfB34;Trapper og ramper, komplettering;Stairs, completions;;;;;;
2;SfB34.1;Gelændere og rækværker, udvendige;Handrails and balustrades, exterior;;;bk.tra;Trappe;;
2;SfB34.2;Gelændere og rækværker, indvendige;Handrails and balustrades, interior;;;bk.tra;Trappe;;
2;SfB34.3;Riste, måtterammer m.m.;Grates, mat frames etc.;;;bk.tra;Trappe;;
1;SfB35;Lofter, komplettering;Suspended ceilings;;;;;;
2;SfB35.1;Nedhængte lofter;Suspended ceilings;;;bk.lof;Loft;;
2;SfB35.2;Påbyggede lofter;Surface-mounted ceilings;;;bk.lof;Loft;;
1;SfB36;Altaner, komplettering;;;;;;;
2;SfB36.1;Rækværker, brystninger;Railings, parapets;;;bk.alt;Altan;;
1;SfB37;Tage, komplettering;Roofs, completions;;;;;;
2;SfB37.1;Kviste m.m.;Dormers, etc. ;;;bk.kvi;Kvist;;
2;SfB37.2;Ovenlys og røglemme;Skylights and smoke hatches;;;bk.lug;Luger og lemme;;
2;SfB37.3;Solskærme til ovenlys;Sun screens for skylights;;;bk.vin;Vindue;;
2;SfB37.4;Snefang, rækværker, afskærmninger;;;;bk.tad;Tagdækning;;
2;SfB37.5;Inspektionslemme, døre m.m.;Inspection hatches, doors, etc.;;;bk.dør;Dør;;
2;SfB37.6;Tagudh., v.skeder., sternbr., inddækn.;;;;bk.tad;Tagdækning;;
1;SfB38;Kompletterende bygningsdele bygning, øvrige;Other completions;;;;;;
0;SfB4;OVERFLADER;;;;bk.ovf;Overflader;;
1;SfB40;Belægninger, terræn;Roads, paths, pavings;;;;;;
2;SfB40.1;Overflader, sekundære bygninger;Secondary buildings, finishes;;;ti.sby;Småbygninger;;
2;SfB40.2;Stier, belægninger;Paths;;;tk.bel;Belægninger;;
