FromLevel	FromCode	FromName_da	FromName_en	FromProperty_PropertyName	ToLevel	ToCode	ToName_da	ToName_en	ToProperty_PropertyName
0	1	Bygningsbasis	Substructure						
1	1.10	Bygningsbasis, terræn	Prepared site						
2	1.10.1	Forberedt grund							
2	1.10.2	Byggegrube inkl. afstivning							
2	1.10.3	Spunsvægge							
2	1.10.4	Pælefundamenter og brøndfundamenter	Pile foundations and well foundations						
2	1.10.5	Fundamenter i terræn	Foundations in terrain						
1	1.12	Fundamenter, bygning	Foundations						
2	1.12.1	Liniefundamenter	Strip foundations						
2	1.12.2	Punktfundamenter	Pad foundations						
2	1.12.3	Pladefundamenter	Slab foundations						
2	1.12.4	Fundamenter, fugt- og varmeisolering							
1	1.13	Terrændæk, bygning	Floor slabs						
2	1.13.1	Terrændæk, kældre	Floor slabs, basement						
2	1.13.2	Terrændæk i terrænniveau	Floor slabs, ground level						
2	1.13.3	Terrændæk, fugt- og varmeisolering	Floor slabs, moisture and thermal insulation						
1	1.18	Bygningsbasis bygning, øvrige	Other substructures						
2	1.18.1	Kanaler under terræn	Drains below ground level						
2	1.18.2	Gruber og sumpe	Pits and sumps						
0	2	Primære bygningsdele	Structure						
1	2.20	Primære bygningsdele, terræn	Site structures						
2	2.20.1	Sekundære bygninger	Secondary buildings						
2	2.20.2	Hegnsmure	Fence walls						
2	2.20.3	Støttemure	Retaining walls						
2	2.20.4	Teknikgange i terræn inkl. rør-broer og tunneller	Engineering ducts including pipe bridges and tunnels						
2	2.20.5	Fodgængerbroer, viadukter m.m.	Footbridges, viaducts, etc.						
2	2.20.6	Trapper og ramper i terræn	Stairs and ramps, on site						
1	2.21	Ydervægge	Exterior walls						
2	2.21.1	Kælderydervægge	Basement walls, exterior						
2	2.21.2	Lyskasser	Light shafts						
2	2.21.3	Ydervægge	Exterior walls						
2	2.21.4	Kælderydervægge, fugt- og varmeisolering	Exterior basement walls, moisture and thermal insulation						
2	2.21.5	Ydervægge, fugt- og varmeisolering	Exterior walls, moisture and thermal insulation						
1	2.22	Indervægge	Interior walls						
2	2.22.1	Kælderindervægge	Basement walls, interior						
2	2.22.2	Indervægge ekskl. kælderindervægge	Partition walls, excl. basement partition walls						
2	2.22.3	Skaktvægge, skorstensvanger, installationsskakte m.m.	Shaft walls, chimney walls, installation shafts, etc.						
2	2.22.4	Skakte for elevatorer	Lift shafts						
1	2.23	Dæk	Floors						
2	2.23.1	Kælderdæk og krybekælderdæk	Basement slabs and crawl space slabs						
2	2.23.2	Etagedæk	Floor slabs						
