LCC-SfB Kode;LCC-SfB bygningsdelstavle;FvK-Kode;Forvaltnings Klassifikation
1;Bygningsbasis;;
1.10;Bygningsbasis, terræn;;
1.10.4;Pælefundamenter og brøndfundamenter;bk.fun;
1.10.5;Fundamenter i terræn;;
1.12;Fundamenter, bygning;bk.fun;Fundament
1.12.1;Liniefundamenter;bk.fun;Fundament
1.12.2;Punktfundamenter;bk.fun;Fundament
1.12.3;Pladefundamenter;bk.fun;Fundament
1.12.4;Fundamenter, fugt- og varmeisolering;;
1.13;Terrændæk, bygning;bk.dæk;Dækkonstruktion
1.13.1;Terrændæk, kældre;bk.dæk;Dækkonstruktion
1.13.2;Terrændæk i terrænniveau;bk.dæk;Dækkonstruktion
1.18;Bygningsbasis bygning, øvrige;;
1.18.1;Kanaler under terræn;bk.kan;Kanaler, ingeniørgange
1.18.2;Gruber og sumpe;;
2;Primære bygningsdele;;
2.20;Primære bygningsdele, terræn;;
2.20.1;Sekundære bygninger;ti.sby;Småbygninger
2.20.2;Hegnsmure;tk.heg;Hegn
2.20.3;Støttemure;tk.væg;Væg
2.20.4;Teknikgange i terræn inkl. rør-broer og tunneller;tk.tek;Teknikgang
2.20.5;Fodgængerbroer, viadukter m.m.;tk.bro;Bro
2.20.6;Trapper og ramper i terræn;tk.tra;Trappe og rampe
2.21;Ydervægge;bk.væg;Væg
2.21.1;Kælderydervægge;bk.væg;Væg
2.21.2;Lyskasser;bk.lys;Lyskasse
2.21.3;Ydervægge;bk.væg;Væg
2.21.4;Kælderydervægge, fugt- og varmeisolering;;
2.21.5;Ydervægge, fugt- og varmeisolering;;
2.22;Indervægge;bk.væg;Væg
2.22.1;Kælderindervægge;bk.væg;Væg
2.22.2;Indervægge ekskl. kælderindervægge;bk.væg;Væg
2.22.3;Skaktvægge, skorstensvanger, installationsskakte m.m.;bk.væg;Væg
2.22.4;Skakte for elevatorer;bk.væg;Væg
2.23;Dæk;bk.dæk;Dækkonstruktion
2.23.1;Kælderdæk og krybekælderdæk;bk.dæk;Dækkonstruktion
2.23.2;Etagedæk;dk.dæk;Dækkonstruktion
2.23.3;Tagdæk, særlige dæk under opbyggede tage;bk.dæk;Dækkonstruktion
2.23.4;Tagdæk, fugt- og varmeisolering;;
2.24;Trapper og ramper;bk.tra;Trappe
2.24.1;Kældertrapper, udvendige;bk.tra;Trappe
2.24.2;Trapper udvendige;bk.tra;Trappe
2.24.3;Trapper indvendige;bk.tra;Trappe
2.24.4;Ramper udvendige;bk.ram;Rampe
2.24.5;Ramper indvendige;bk.ram;Rampe
2.24.6;Faste stiger;bk.tra;Trappe
2.25;Bærende konstruktioner;;
2.25.1;Bærende konstruktioner, øvrige (søjler, bjælker, rammer, skaller);;
2.25.2;Bærende konstruktioner, øvrige, fugt- og varmeisolering;;
2.26;Altaner og altangange;bk.alt;Altan
2.26.1;Altaner og altangange, udkragede;bk.alt;Altan
2.26.2;Altaner og altangange, fritliggende;bk.alt;Altan
2.26.3;Altaner og altangange, påhængte;bk.alt;Altan
2.26.4;Altaner og altangange, fritstående;bk.alt;Altan
2.27;Tage;bk.tak;Tagkonstruktion
2.27.1;Tagværker;bk.tak;Tagkonstruktion
2.27.2;Baldakiner og overdækninger;bk.tak;Tagkonstruktion
2.27.3;Tage, fugt- og varmeisolering;;
2.28;Øvrige primære bygningsdele, bygning;;
2.28.1;Øvrige primære bygningsdele, bygning;;
3;Kompletterende bygningsdele;;
3.30;Kompletterende bygningsdele, terræn;;
3.30.1;Komplettering sekundære bygninger;ti.sby;"Småbygninger   ikke registreret
som bygning   (x"
3.30.3;Komplettering trapper, ramper m.m. i terræn;tk.tra;Trapper og rampe
3.31;Ydervægge, komplettering;;
3.31.1;Kælderydervægge, kompletterende del (døre, vinduer m.m.);bk.dør;Dør
3.31.2;Døre, ydervægge;bk.dør;Dør
3.31.3;Porte, ydervægge;bk.por;Porte
3.31.4;Vinduer, ydervægge;bk.vin;Vindue
3.31.5;Solskærme, skodder, gitre m.m.;bk.vin;Vindue
3.31.6;Sålbænke, inddækninger m.m.;bk.dør;Dør
3.31.7;Termoruder og flerlagsruder m.m.;bk.væg;Væg
3.32;Indervægge, komplettering;;
3.32.1;Døre, indervægge;bk.dør;Dør
3.32.2;Vinduer, indervægge;bk.lug;Luger og lemme
3.32.3;Bevægelige indervægge;bk.væg;Væg
3.32.4;Indfatninger, fodpaneler og fendere;bk.dør;Dør
3.33;Dæk, komplettering;;
3.33.1;Opbyggede gulve;bk.gul;Gulv
3.33.2;Svømmende gulve;bk.gul;Gulv
3.33.3;Lemme, riste, måtterammer m.m.;bk.gul;Gulv
3.33.4;Sokler til maskiner;bk.fun;Fundament
3.34;Trapper og ramper, komplettering;;
3.34.1;Gelændere og rækværker, udvendige;bk.tra;Trappe
3.34.2;Gelændere og rækværker, indvendige;bk.tra;Trappe
3.34.3;Riste, måtterammer m.m.;bk.tra;Trappe
3.35;Lofter, komplettering;;
3.35.1;Nedhængte lofter;bk.lof;Loft
3.35.2;Påbyggede lofter;bk.lof;Loft
3.36;Altaner;;
3.36.1;Rækværker, brystninger;bk.alt;Altan
3.37;Tage, komplettering;;
3.37.1;Kviste m.m.;bk.kvi;Kvist
3.37.2;Ovenlys og røglemme;bk.lug;Luger og lemme
3.37.3;Solskærme til ovenlys;bk.vin;Vindue
3.37.4;Snefang, rækværker, afskærmninger m.m.;bk.tad;Tagdækning
3.37.5;Inspektionslemme, døre m.m.;bk.dør;Dør
3.37.6;Tagudhæng, vindskeder, sternbrædder og inddækninger;bk.tad;Tagdækning
3.38;Kompletterende bygningsdele bygning, øvrige;;
3.38.1;Kompletterende bygningsdele bygning, øvrige;;
4;Overfladebygningsdele;bk.ovf;Overflader
4.40;Belægninger, terræn;;
4.40.1;Overflader, sekundære bygninger;ti.sby;Småbygninger
4.40.2;Stier, belægninger;tk.bel;Belægninger
4.40.3;Veje, parkeringsarealer, belægninger;tk.bel;Belægninger
4.40.4;Opholdsarealer, belægninger;tk.bel;Belægninger
4.40.5;Sports- og havearealer, belægninger;tk.bel;Belægninger
4.40.6;Trapper og ramper i terræn, overflader;tk.tra;Trapper og ramper
4.41;Udvendige vægoverflader;;
4.41.1;Kælderydervægge, udvendige overflader;bk.ovf;Overflade
4.41.2;Kælderydervægge, kompletterende del, overflader;bk.ovf;Overflade
4.41.3;Ydervægge, udvendige overflader;bk.ovf;Overflade
4.41.4;Ydervægge, kompletterende dele, overflader;bk.ovf;Overflade
4.42;Indvendige vægoverflader;;
4.42.1;Indvendige vægoverflader;bk.ovf;Overflade
4.42.2;Indervægge kompletterende dele, overflader;bk.ovf;Overflade
4.43;Dæk og gulve, overflader;;
4.43.1;Terrændæk, overflader;bk.dæk;Dækkonstruktion
4.43.2;Etagedæk, overflader;bk.dæk;Dækkonstruktion
4.44;Trapper og ramper, overflader;;
4.44.1;Kældertrapper og kælderramper, udvendige, overflader;bk.ovf;Overflade
4.44.2;Trapper, udvendige, overflader;bk.ovf;Overflade
4.44.3;Trapper, indvendige, overflader;bk.ovf;Overflade
4.44.4;Ramper, udvendige, overflader;bk.ovf;Overflade
4.44.5;Ramper, indvendige, overflader;bk.ovf;Overflade
4.45;Lofter, overflader;bk.lof;Loft
4.45.1;Lofter, overflader;;
4.46;Altaner, overflader;;
4.46.1;Altaner, oversider, overflader;bk.alt;Altan
4.46.2;Altaner, undersider, overflader;bk.alg;Altangang
4.47;Tage, overflader;;
4.47.1;Tage, overflader;bk.tad;Tagdækning
