level	FromCode	FromName_da	FromName_en	ToCode	ToName_da	ToName_en
0	1	Bygningsbasis				
1	1.10	Bygningsbasis, terræn				
2	1.10.4	Pælefundamenter og brøndfundamenter				
2	1.10.5	Fundamenter i terræn				
1	1.12	Fundamenter, bygning				
2	1.12.1	Liniefundamenter				
2	1.12.2	Punktfundamenter				
2	1.12.3	Pladefundamenter				
2	1.12.4	Fundamenter, fugt- og varmeisolering				
1	1.13	Terrændæk, bygning				
2	1.13.1	Terrændæk, kældre				
2	1.13.2	Terrændæk i terrænniveau				
2	1.13.3	Terrændæk, fugt- og varmeisolering				
1	1.18	Bygningsbasis bygning, øvrige				
2	1.18.1	Kanaler under terræn				
2	1.18.2	Gruber og sumpe				
0	2	Primære bygningsdele				
1	2.20	Primære bygningsdele, terræn				
2	2.20.1	Sekundære bygninger				
2	2.20.2	Hegnsmure				
2	2.20.3	Støttemure				
2	2.20.4	Teknikgange i terræn inkl. rør-broer og tunneller				
2	2.20.5	Fodgængerbroer, viadukter m.m.				
2	2.20.6	Trapper og ramper i terræn				
1	2.21	Ydervægge				
2	2.21.1	Kælderydervægge				
2	2.21.2	Lyskasser				
2	2.21.3	Ydervægge				
2	2.21.4	Kælderydervægge, fugt- og varmeisolering				
2	2.21.5	Ydervægge, fugt- og varmeisolering				
1	2.22	Indervægge				
2	2.22.1	Kælderindervægge				
2	2.22.2	Indervægge ekskl. kælderindervægge				
2	2.22.3	Skaktvægge, skorstensvanger, installationsskakte m.m.				
2	2.22.4	Skakte for elevatorer				
1	2.23	Dæk				
2	2.23.1	Kælderdæk og krybekælderdæk				
2	2.23.2	Etagedæk				
2	2.23.3	Tagdæk, særlige dæk under opbyggede tage				
2	2.23.4	Tagdæk, fugt- og varmeisolering				
1	2.24	Trapper og ramper				
2	2.24.1	Kældertrapper, udvendige				
2	2.24.2	Trapper udvendige				
2	2.24.3	Trapper indvendige				
2	2.24.4	Ramper udvendige				
2	2.24.5	Ramper indvendige				
2	2.24.6	Faste stiger				
1	2.25	Bærende konstruktioner				
2	2.25.1	Bærende konstruktioner, øvrige (søjler, bjælker, rammer, skaller)				
2	2.25.2	Bærende konstruktioner, øvrige, fugt- og varmeisolering				
1	2.26	Altaner og altangange				
2	2.26.1	Altaner og altangange, udkragede				
2	2.26.2	Altaner og altangange, fritliggende				
2	2.26.3	Altaner og altangange, påhængte				
2	2.26.4	Altaner og altangange, fritstående				
1	2.27	Tage				
2	2.27.1	Tagværker				
2	2.27.2	Baldakiner og overdækninger				
2	2.27.3	Tage, fugt- og varmeisolering				
1	2.28	Øvrige primære bygningsdele, bygning				
2	2.28.1	Øvrige primære bygningsdele, bygning				
0	3	Kompletterende bygningsdele				
1	3.30	Kompletterende bygningsdele, terræn				
2	3.30.1	Komplettering sekundære bygninger				
2	3.30.3	Komplettering trapper, ramper m.m. i terræn				
1	3.31	Ydervægge, komplettering				
2	3.31.1	Kælderydervægge, kompletterende del (døre, vinduer m.m.)				
2	3.31.2	Døre, ydervægge				
2	3.31.3	Porte, ydervægge				
2	3.31.4	Vinduer, ydervægge				
2	3.31.5	Solskærme, skodder, gitre m.m.				
2	3.31.6	Sålbænke, inddækninger m.m.				
2	3.31.7	Termoruder og flerlagsruder m.m.				
1	3.32	Indervægge, komplettering				
2	3.32.1	Døre, indervægge				
2	3.32.2	Vinduer, indervægge				
2	3.32.3	Bevægelige indervægge				
2	3.32.4	Indfatninger, fodpaneler og fendere				
1	3.33	Dæk, komplettering				
2	3.33.1	Opbyggede gulve				
2	3.33.2	Svømmende gulve				
2	3.33.3	Lemme, riste, måtterammer m.m.				
2	3.33.4	Sokler til maskiner				
1	3.34	Trapper og ramper, komplettering				
2	3.34.1	Gelændere og rækværker, udvendige				
2	3.34.2	Gelændere og rækværker, indvendige				
2	3.34.3	Riste, måtterammer m.m.				
1	3.35	Lofter, komplettering				
2	3.35.1	Nedhængte lofter				
2	3.35.2	Påbyggede lofter				
1	3.36	Altaner				
2	3.36.1	Rækværker, brystninger				
1	3.37	Tage, komplettering				
2	3.37.1	Kviste m.m.				
2	3.37.2	Ovenlys og røglemme				
2	3.37.3	Solskærme til ovenlys				
2	3.37.4	Snefang, rækværker, afskærmninger m.m.				
2	3.37.5	Inspektionslemme, døre m.m.				
2	3.37.6	Tagudhæng, vindskeder, sternbrædder og inddækninger				
1	3.38	Kompletterende bygningsdele bygning, øvrige				
2	3.38.1	Kompletterende bygningsdele bygning, øvrige				
0	4	Overfladebygningsdele				
1	4.40	Belægninger, terræn				
2	4.40.1	Overflader, sekundære bygninger				
2	4.40.2	Stier, belægninger				
2	4.40.3	Veje, parkeringsarealer, belægninger				
2	4.40.4	Opholdsarealer, belægninger				
2	4.40.5	Sports- og havearealer, belægninger				
2	4.40.6	Trapper og ramper i terræn, overflader				
