level;FromCode;FromName_da;FromName_en;ToCode;ToName_da;ToName_en
0;1;Bygningsbasis;;;;
1;1.10;Bygningsbasis, terræn;;;Fundament og kælder;
2;1.10.4;Pælefundamenter og brøndfundamenter;;;Fundament og kælder;
2;1.10.5;Fundamenter i terræn;;;Fundament og kælder;
1;1.12;Fundamenter, bygning;;;Fundament og kælder;
2;1.12.1;Liniefundamenter;;;Fundament og kælder;
2;1.12.2;Punktfundamenter;;;Fundament og kælder;
2;1.12.3;Pladefundamenter;;;Fundament og kælder;
2;1.12.4;Fundamenter, fugt- og varmeisolering;;;Fundament og kælder;
1;1.13;Terrændæk, bygning;;;Fundament og kælder;
2;1.13.1;Terrændæk, kældre;;;Fundament og kælder;
2;1.13.2;Terrændæk i terrænniveau;;;Fundament og kælder;
2;1.13.3;Terrændæk, fugt- og varmeisolering;;;Fundament og kælder;
1;1.18;Bygningsbasis bygning, øvrige;;;Fundament og kælder;
2;1.18.1;Kanaler under terræn;;;Fundament og kælder;
2;1.18.2;Gruber og sumpe;;;Fundament og kælder;
0;2;Primære bygningsdele;;;;
1;2.20;Primære bygningsdele, terræn;;;;
2;2.20.1;Sekundære bygninger;;;Øvrige bygningsdele;
2;2.20.2;Hegnsmure;;;Øvrige bygningsdele;
2;2.20.3;Støttemure;;;Øvrige bygningsdele;
2;2.20.4;Teknikgange i terræn inkl. rør-broer og tunneller;;;Øvrige bygningsdele;
2;2.20.5;Fodgængerbroer, viadukter m.m.;;;Øvrige bygningsdele;
2;2.20.6;Trapper og ramper i terræn;;;Øvrige bygningsdele;
1;2.21;Ydervægge;;;Ydervægge;
2;2.21.1;Kælderydervægge;;;Fundament og kælder;
2;2.21.2;Lyskasser;;;Fundament og kælder;
2;2.21.3;Ydervægge;;;Ydervægge;
2;2.21.4;Kælderydervægge, fugt- og varmeisolering;;;Fundament og kælder;
2;2.21.5;Ydervægge, fugt- og varmeisolering;;;Ydervægge;
1;2.22;Indervægge;;;Øvrige bygningsdele;
2;2.22.1;Kælderindervægge;;;Fundament og kælder;
2;2.22.2;Indervægge ekskl. kælderindervægge;;;Øvrige bygningsdele;
2;2.22.3;Skaktvægge, skorstensvanger, installationsskakte m.m.;;;Tekniske anlæg;
2;2.22.4;Skakte for elevatorer;;;Tekniske anlæg;
1;2.23;Dæk;;;Etageadskillelser;
1;2.23;Dæk;;;Tag;
2;2.23.1;Kælderdæk og krybekælderdæk;;;Fundament og kælder;
2;2.23.2;Etagedæk;;;Etageadskillelser;
2;2.23.3;Tagdæk, særlige dæk under opbyggede tage;;;Tag;
2;2.23.4;Tagdæk, fugt- og varmeisolering;;;Tag;
1;2.24;Trapper og ramper;;;Altaner og altangange;
2;2.24.1;Kældertrapper, udvendige;;;Fundament og kælder;
2;2.24.1;Kældertrapper, udvendige;;;Altaner og altangange;
2;2.24.2;Trapper udvendige;;;Altaner og altangange;
2;2.24.3;Trapper indvendige;;;Altaner og altangange;
2;2.24.4;Ramper udvendige;;;Altaner og altangange;
2;2.24.5;Ramper indvendige;;;Altaner og altangange;
2;2.24.6;Faste stiger;;;Ydervægge;
1;2.25;Bærende konstruktioner;;;Ydervægge;
2;2.25.1;Bærende konstruktioner, øvrige (søjler, bjælker, rammer, skaller);;;Ydervægge;
2;2.25.2;Bærende konstruktioner, øvrige, fugt- og varmeisolering;;;Ydervægge;
1;2.26;Altaner og altangange;;;Altaner og altangange;
2;2.26.1;Altaner og altangange, udkragede;;;Altaner og altangange;
2;2.26.2;Altaner og altangange, fritliggende;;;Altaner og altangange;
2;2.26.3;Altaner og altangange, påhængte;;;Altaner og altangange;
2;2.26.4;Altaner og altangange, fritstående;;;Altaner og altangange;
1;2.27;Tage;;;Tag;
2;2.27.1;Tagværker;;;Tag;
2;2.27.2;Baldakiner og overdækninger;;;Tag;
2;2.27.3;Tage, fugt- og varmeisolering;;;Tag;
1;2.28;Øvrige primære bygningsdele, bygning;;;Øvrige bygningsdele;
2;2.28.1;Øvrige primære bygningsdele, bygning;;;Øvrige bygningsdele;
0;3;Kompletterende bygningsdele;;;;
1;3.30;Kompletterende bygningsdele, terræn;;;;
1;3.30;Kompletterende bygningsdele, terræn;;;Øvrige bygningsdele;
2;3.30.1;Komplettering sekundære bygninger;;;Øvrige bygningsdele;
2;3.30.3;Komplettering trapper, ramper m.m. i terræn;;;Øvrige bygningsdele;
1;3.31;Ydervægge, komplettering;;;Døre og vinduer;
2;3.31.1;Kælderydervægge, kompletterende del (døre, vinduer m.m.);;;Fundament og kælder;
2;3.31.2;Døre, ydervægge;;;Døre og vinduer;
2;3.31.3;Porte, ydervægge;;;Døre og vinduer;
2;3.31.4;Vinduer, ydervægge;;;Døre og vinduer;
2;3.31.5;Solskærme, skodder, gitre m.m.;;;Døre og vinduer;
2;3.31.6;Sålbænke, inddækninger m.m.;;;Døre og vinduer;
2;3.31.7;Termoruder og flerlagsruder m.m.;;;Døre og vinduer;
1;3.32;Indervægge, komplettering;;;Døre og vinduer;
2;3.32.1;Døre, indervægge;;;Døre og vinduer;
2;3.32.2;Vinduer, indervægge;;;Døre og vinduer;
